,target,Open,Close,combinedProfit,combinedBuy,combinedMoney,tweetProfit,tweetBuy,tweetMoney,headlineProfit,headlineBuy,headlineMoney
0,CSCO,55.560001373291016,55.810001373291016,125.0,500,27780.000686645508,75.0,300,16668.000411987305,125.0,500,27780.000686645508
1,FAST,56.3307991027832,56.029998779296875,-30.080032348632812,100,5633.07991027832,-30.080032348632812,100,5633.07991027832,-30.080032348632812,100,5633.07991027832
2,FB,328.260009765625,315.80999755859375,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
3,KSU,303.2699890136719,304.1700134277344,72.001953125,80,24261.59912109375,0.0,0,0.0,108.0029296875,120,36392.398681640625
4,ADP,218.14999389648438,218.8000030517578,91.00128173828125,140,30540.999145507812,0.0,0,0.0,227.50320434570312,350,76352.49786376953
5,GLW,36.54999923706055,36.58000183105469,12.00103759765625,400,14619.999694824219,0.0,0,0.0,15.001296997070312,500,18274.999618530273
6,EXPE,162.9600067138672,162.75,-58.8018798828125,280,45628.80187988281,-73.50234985351562,350,57036.002349853516,-44.101409912109375,210,34221.60140991211
7,MHK,194.36000061035156,193.24000549316406,-78.399658203125,70,13605.20004272461,-78.399658203125,70,13605.20004272461,-78.399658203125,70,13605.20004272461
8,ALGN,594.6599731445312,593.2999877929688,0.0,0,0.0,0.0,0,0.0,-13.599853515625,10,5946.5997314453125
9,SEE,59.290000915527344,58.88999938964844,-40.000152587890625,100,5929.000091552734,0.0,0,0.0,-40.000152587890625,100,5929.000091552734
