,headlines,target,tweets,combined,alpha,combinedBuy,tweetBuy,headlineBuy
0,0.17390729188919068,CSCO,0.22812687815764013,0.20101708502341542,0.5,20,20,10
1,0.0,FAST,0.0046827012300491334,0.0023413506150245667,0.5,0,0,0
2,0.0,FB,0.00943463146686554,0.00471731573343277,0.5,0,0,0
3,0.003811848163604714,KSU,0.07288136422634124,0.03834660619497298,0.5,0,0,0
4,0.39796019792556764,ADP,0.17316726684570313,0.28556373238563537,0.5,20,10,30
5,0.7994663715362549,GLW,0.5277588805731606,0.6636126260547077,0.5,50,50,50
6,0.3824180603027344,EXPE,0.19868100047111512,0.29054953038692477,0.5,20,10,30
7,0.0,MHK,0.08686957730875387,0.04343478865437694,0.5,0,0,0
8,-0.030485093593597478,ALGN,0.11251859532462226,0.04101675086551239,0.5,0,10,0
9,0.19991818666458128,SEE,0.02137427449226379,0.11064623057842253,0.5,10,0,10
