,target,Open,Close,combinedProfit,combinedBuy,combinedMoney,tweetProfit,tweetBuy,tweetMoney,headlineProfit,headlineBuy,headlineMoney
0,CSCO,56.040000915527344,55.689998626708984,-70.00045776367188,200,-14000.091552734375,-70.00045776367188,200,-14000.091552734375,-35.00022888183594,100,-3500.0228881835938
1,FAST,56.0,56.099998474121094,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2,FB,340.2799987792969,341.8800048828125,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
3,KSU,302.57000732421875,301.9599914550781,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
4,ADP,213.0800018310547,214.7100067138672,228.20068359375,140,31948.095703125,114.100341796875,70,7987.02392578125,342.301025390625,210,71883.21533203125
5,GLW,38.130001068115234,38.459999084472656,164.99900817871094,500,82499.50408935547,164.99900817871094,500,82499.50408935547,164.99900817871094,500,82499.50408935547
6,EXPE,163.25999450683594,162.75,-71.39923095703125,140,-9995.892333984375,-35.699615478515625,70,-2498.9730834960938,-107.09884643554688,210,-22490.757751464844
7,MHK,190.0,191.85000610351562,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
8,ALGN,611.1900024414062,599.489990234375,0.0,0,0.0,-117.0001220703125,10,-1170.001220703125,0.0,0,0.0
9,SEE,59.02000045776367,59.220001220703125,20.000076293945312,100,2000.0076293945312,0.0,0,0.0,20.000076293945312,100,2000.0076293945312
