,headlines,target,tweets,combined,alpha,combinedBuy,tweetBuy,headlineBuy
0,0.7690220713615418,CSCO,0.06836418858889876,0.41869312997522024,0.5,40,0,50
1,0.19993255138397217,FAST,0.18793976367121995,0.19393615752759608,0.5,10,10,10
2,-0.37419542074203493,FB,0.06361868706616489,-0.155288366837935,0.5,0,0,0
3,0.4224586486816406,KSU,-0.011991205513477326,0.20523372158408165,0.5,20,0,40
4,0.5978945136070252,ADP,0.09162521600723267,0.34475986480712895,0.5,30,0,50
5,0.7994663715362549,GLW,0.11751403528101304,0.45849020340863395,0.5,40,10,50
6,0.3824180603027344,EXPE,0.9907474517822266,0.6865827560424804,0.5,50,50,30
7,0.19987986087799073,MHK,0.031625209819702876,0.1157525353488468,0.5,10,0,10
8,0.19986453056335446,ALGN,0.0,0.09993226528167723,0.5,0,0,10
9,0.19991818666458128,SEE,0.02355713605880737,0.11173766136169433,0.5,10,0,10
