,target,Open,Close,combinedProfit,combinedBuy,combinedMoney,tweetProfit,tweetBuy,tweetMoney,headlineProfit,headlineBuy,headlineMoney
0,CSCO,55.54999923706055,55.11000061035156,-87.99972534179688,200,11109.99984741211,-87.99972534179688,200,11109.99984741211,-43.99986267089844,100,5554.999923706055
1,FAST,56.290000915527344,56.04999923706055,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2,FB,326.3500061035156,324.6099853515625,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
3,KSU,302.3599853515625,305.3299865722656,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
4,ADP,215.5,217.75,315.0,140,30170.0,157.5,70,15085.0,472.5,210,45255.0
5,GLW,38.439998626708984,38.22999954223633,-104.99954223632812,500,19219.999313354492,-104.99954223632812,500,19219.999313354492,-104.99954223632812,500,19219.999313354492
6,EXPE,162.27000427246094,161.6699981689453,-84.0008544921875,140,22717.80059814453,-42.00042724609375,70,11358.900299072266,-126.00128173828125,210,34076.7008972168
7,MHK,192.0399932861328,192.1199951171875,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
8,ALGN,599.0,590.5599975585938,0.0,0,0.0,-84.4000244140625,10,5990.0,0.0,0,0.0
9,SEE,59.470001220703125,59.36000061035156,-11.00006103515625,100,5947.0001220703125,0.0,0,0.0,-11.00006103515625,100,5947.0001220703125
