,headlines,target,tweets,combined,alpha,combinedBuy,tweetBuy,headlineBuy
0,0.5989660143852233,CSCO,-0.10621318756005703,0.38741225380163924,0.3,30,0,50
1,0.19993255138397217,FAST,0.11423543632030488,0.17422341686487197,0.3,10,10,10
2,0.0,FB,-0.01171558439731598,-0.003514675319194794,0.3,0,0,0
3,0.733551824092865,KSU,0.08984507083892822,0.540439798116684,0.3,50,0,50
4,0.5900633692741394,ADP,0.05698584735393524,0.4301401126980781,0.3,40,0,50
5,-0.39928245544433594,GLW,0.11757422628856842,-0.2442254509244646,0.3,0,10,0
6,0.3824180603027344,EXPE,0.054923858425833964,0.2841697997396643,0.3,20,0,30
7,0.39977829456329345,MHK,-0.0332293709119161,0.26987599492073056,0.3,20,0,30
8,0.5986819863319397,ALGN,0.17644716357136822,0.47201153950376823,0.3,40,10,50
9,0.19991818666458128,SEE,0.04044561505317688,0.15207641518115994,0.3,10,0,10
