,headlines,target,tweets,combined,alpha,combinedBuy,tweetBuy,headlineBuy
0,0.39963884353637696,CSCO,0.14465800462624964,0.32314459186333877,0.3,30,10,30
1,0.19993255138397217,FAST,0.11051610887050628,0.1731076186299324,0.3,10,10,10
2,0.0,FB,0.13876682341098787,0.04163004702329636,0.3,0,10,0
3,-0.19661586284637453,KSU,0.06853939771652222,-0.1170692846775055,0.3,0,0,0
4,0.5900633692741394,ADP,0.09984983265399933,0.4429993082880973,0.3,40,0,50
5,-0.39928245544433594,GLW,0.05057503779729208,-0.2643252074718475,0.3,0,0,0
6,0.19985773563385006,EXPE,0.08728803932666779,0.16608682674169536,0.3,10,0,10
7,0.20035910606384277,MHK,0.017227906733751297,0.1454197462648153,0.3,10,0,20
8,0.2093574047088623,ALGN,-0.008378572188890893,0.14403661163953632,0.3,10,0,20
9,0.19991818666458128,SEE,0.02369780242443084,0.14705207139253612,0.3,10,0,10
