,target,Open,Close,combinedProfit,combinedBuy,combinedMoney,tweetProfit,tweetBuy,tweetMoney,headlineProfit,headlineBuy,headlineMoney
0,CSCO,56.31999969482422,55.970001220703125,-139.9993896484375,400,22527.999877929688,-34.999847412109375,100,5631.999969482422,-174.99923706054688,500,28159.99984741211
1,FAST,56.220001220703125,57.08000183105469,86.00006103515625,100,5622.0001220703125,0.0,0,0.0,86.00006103515625,100,5622.0001220703125
2,FB,320.19000244140625,323.57000732421875,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
3,KSU,308.1000061035156,310.25,171.99951171875,80,24648.00048828125,0.0,0,0.0,257.999267578125,120,36972.000732421875
4,ADP,222.08999633789062,224.49000549316406,672.0025634765625,280,62185.198974609375,0.0,0,0.0,840.0032043457031,350,77731.49871826172
5,GLW,35.52000045776367,35.56999969482422,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
6,EXPE,163.92999267578125,164.41000366210938,134.403076171875,280,45900.39794921875,0.0,0,0.0,168.00384521484375,350,57375.49743652344
7,MHK,189.0,177.2100067138672,-2475.8985900878906,210,39690.0,0.0,0,0.0,-2475.8985900878906,210,39690.0
8,ALGN,629.1799926757812,624.3699951171875,-48.0999755859375,10,6291.7999267578125,-48.0999755859375,10,6291.7999267578125,-96.199951171875,20,12583.599853515625
9,SEE,58.86000061035156,59.31999969482422,45.999908447265625,100,5886.000061035156,0.0,0,0.0,45.999908447265625,100,5886.000061035156
