,target,Open,Close,combinedProfit,combinedBuy,combinedMoney,tweetProfit,tweetBuy,tweetMoney,headlineProfit,headlineBuy,headlineMoney
0,CSCO,56.130001068115234,56.18000030517578,9.999847412109375,200,11226.000213623047,0.0,0,0.0,14.999771118164062,300,16839.00032043457
1,FAST,56.119998931884766,55.56999969482422,-54.99992370605469,100,5611.999893188477,-54.99992370605469,100,5611.999893188477,-54.99992370605469,100,5611.999893188477
2,FB,314.19000244140625,312.2200012207031,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
3,KSU,304.6099853515625,304.6300048828125,2.40234375,120,36553.1982421875,0.0,0,0.0,4.00390625,200,60921.9970703125
4,ADP,223.16000366210938,221.9499969482422,-338.8018798828125,280,62484.801025390625,0.0,0,0.0,-423.5023498535156,350,78106.00128173828
5,GLW,36.47999954223633,35.38999938964844,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
6,EXPE,163.0,164.13999938964844,159.59991455078125,140,22820.0,0.0,0,0.0,239.39987182617188,210,34230.0
7,MHK,192.86000061035156,192.8699951171875,0.699615478515625,70,13500.20004272461,0.699615478515625,70,13500.20004272461,0.699615478515625,70,13500.20004272461
8,ALGN,591.280029296875,604.3900146484375,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
9,SEE,58.70000076293945,58.029998779296875,-67.00019836425781,100,5870.000076293945,0.0,0,0.0,-67.00019836425781,100,5870.000076293945
