,headlines,target,tweets,combined,alpha,combinedBuy,tweetBuy,headlineBuy
0,0.3514560103416443,CSCO,0.07920299649238587,0.26978010618686676,0.3,20,0,30
1,0.19993255138397217,FAST,0.1290905022621155,0.17867993664741516,0.3,10,10,10
2,-0.198611319065094,FB,-0.010017821788787842,-0.14203326988220216,0.3,0,0,0
3,0.5336278319358826,KSU,0.0420566388964653,0.3861564740240574,0.3,30,0,50
4,0.5978945136070252,ADP,0.08212551926121567,0.4431638153032823,0.3,40,0,50
5,-0.19991443157196045,GLW,-0.14223038911819458,-0.18260921883583067,0.3,0,0,0
6,0.3824180603027344,EXPE,0.0730835957960649,0.28961772095073357,0.3,20,0,30
7,0.19987986087799073,MHK,0.11172543962796529,0.17343353450298307,0.3,10,10,10
8,0.0,ALGN,0.07140319687979563,0.021420959063938688,0.3,0,0,0
9,0.19991818666458128,SEE,0.05514029800891876,0.1564848200678825,0.3,10,0,10
